names,locations,prices,ratings,images
The Alantara Sanur,"Denpasar Selatan, Denpasar",IDR 535.500,3.9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/8d98cb54-b2e5-46d3-8878-e424f3c022d8-1603911925881-b34f2ecc78711719e20cd9d9cc63bf19.jpg
Villa Tangtu Beach Inn,"Denpasar Timur, Denpasar",IDR 127.987,2.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/12/12/d3023acc-31a8-4261-b6f1-a764d93a5b3e-1607778555913-8b12b6ae9641e0e59991a4a06c47941b.jpg
Mahajaya Hotel Denpasar,"Denpasar Utara, Denpasar",IDR 125.437,3.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/0663546a-8eb0-4374-bf33-ba16225eb904-1603898788439-61f82f43d157998c4e6eef86eef965f8.jpg
Grand Mirah Boutique Hotel,"Denpasar Utara, Denpasar",IDR 739.200,4.2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/7d48aabb-1606-49e9-98f7-5f4a67f36da5-1603897791393-9666b3d973247de81784218d36d3e74b.jpg
Adhi Jaya Sunset Hotel,"Kuta, Denpasar",IDR 131.547,4.2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/57777f91-db15-477b-9686-d4f43f384f48-1604138208208-5ab4ffe07e0f2576a5036c861e360b5b.jpg
POP! Hotel Denpasar Bali,"Denpasar Utara, Denpasar",IDR 179.100,3.8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/28a49015-5bae-40b6-b986-8f42af4dd2cf-1603890972497-04a5a6df3e0dc2cc984e34b2f991bf27.jpg
Kayu Suar Bali Luxury Villas and Spa,"Denpasar Selatan, Denpasar",IDR 645.750,5.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/48a7e752-19ad-4e7a-bebb-2e66b0e4e4b2-1603896623202-3c73299030bcf318bb601d32267a0839.jpg
Grand Pondok Puri Ayu,"Denpasar Barat, Denpasar",IDR 259.450,3.3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/15/2585560f-fa01-4a48-9182-10f6567d0a8e-1602745319741-5f3d4df816b1d083ff850bc99059d109.jpg
Inna Bali Heritage Hotel,"Denpasar Utara, Denpasar",IDR 139.045,4.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/e8fd0065-0cf2-49b8-8699-1bc058fc1322-1603880165429-dfdb2d074396c4e64ec93406feb4f528.jpg
"Sudamala Resort, Sanur","Denpasar Selatan, Denpasar",IDR 1.110.000,4.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/c107e49e-29d4-43b6-9565-9e6021abf00d-1603879293977-9defb04648bbf9f93fff6cfec5cf9e59.jpg
Amaris Hotel Teuku Umar - Denpasar Bali,"Denpasar Barat, Denpasar",IDR 277.200,4.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/20/786d9367-951f-4731-b0a2-edba495ef61a-1605890628596-a29bc1c4e0fd396e395d23d79c3e3beb.jpg
Hotel Oranjje,"Denpasar Selatan, Denpasar",IDR 177.255,2.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/cf6aae6f-93e1-4344-9706-34d2d7d29786-1603880129279-2e7d10036ae89846d82115be33178af0.jpg
Mai Mesare Villa,"Kesiman, Denpasar",,,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/15/38c24b7e-fb35-4677-a18d-c6b96252b52f-1605451014846-c50b7f384ccdff0ca69642fbedb1ed23.jpg
Grand Lifestyle Hotel,"Denpasar Barat, Denpasar",,3.1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/ad0d9c95-f44b-4c75-9a2c-449f304b7bf4-1603889450134-79b38750fc10b624007cfebe3e19ac70.jpg
Maison Aurelia Sanur - by Préférence,"Denpasar Selatan, Denpasar",IDR 678.300,4.7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/cabb2f45-95db-4fd0-b153-4c31ee7458ed-1603903783450-67fe15347d97b203fcd3d6f1fc0cdbd6.jpg
Cityzen Renon,"Denpasar Selatan, Denpasar",,5.0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/09/e7a81a75-078c-49f7-af18-fe9761a8bf51-1633725634760-c54aae5a53ed7ade6981006433c04d62.jpg
